%%
%% array of partial derivatives of phase velocity with respect to S-wave velocity at each period T; 
%% periods T are arrange in rowss -->
%% depth intervals are arrange in columns |
%%
%% used in class exercise for inversion course
%%
%%
6.7353e-002  4.8759e-002  3.2767e-002  2.1250e-002  1.4553e-002  1.0649e-002  8.3111e-003  6.8445e-003  5.9959e-003  5.2413e-003
6.5832e-002  4.8183e-002  3.2556e-002  2.1168e-002  1.4515e-002  1.0629e-002  8.2979e-003  6.8351e-003  5.9885e-003  5.2354e-003
6.1565e-002  4.6585e-002  3.1990e-002  2.0963e-002  1.4428e-002  1.0585e-002  8.2734e-003  6.8196e-003  5.9771e-003  5.2271e-003
5.4943e-002  4.4045e-002  3.1086e-002  2.0637e-002  1.4291e-002  1.0520e-002  8.2375e-003  6.7976e-003  5.9616e-003  5.2164e-003
4.6615e-002  4.0713e-002  2.9880e-002  2.0199e-002  1.4109e-002  1.0433e-002  8.1907e-003  6.7696e-003  5.9422e-003  5.2033e-003
3.7367e-002  3.6781e-002  2.8415e-002  1.9661e-002  1.3883e-002  1.0326e-002  8.1332e-003  6.7355e-003  5.9189e-003  5.1878e-003
2.8095e-002  3.2492e-002  2.6753e-002  1.9037e-002  1.3619e-002  1.0200e-002  8.0659e-003  6.6958e-003  5.8919e-003  5.1701e-003
1.9590e-002  2.8060e-002  2.4945e-002  1.8340e-002  1.3320e-002  1.0056e-002  7.9888e-003  6.6505e-003  5.8612e-003  5.1502e-003
2.1091e-002  3.0141e-002  2.7082e-002  2.0279e-002  1.4975e-002  1.1455e-002  9.1907e-003  7.7066e-003  6.8237e-003  6.0225e-003
1.3591e-002  2.4965e-002  2.4549e-002  1.9144e-002  1.4425e-002  1.1163e-002  9.0197e-003  7.5976e-003  6.7452e-003  5.9674e-003
8.5412e-003  2.0367e-002  2.2068e-002  1.7980e-002  1.3848e-002  1.0852e-002  8.8359e-003  7.4799e-003  6.6601e-003  5.9075e-003
5.1778e-003  1.6350e-002  1.9675e-002  1.6803e-002  1.3249e-002  1.0524e-002  8.6405e-003  7.3540e-003  6.5688e-003  5.8431e-003
2.9890e-003  1.2913e-002  1.7402e-002  1.5627e-002  1.2635e-002  1.0182e-002  8.4347e-003  7.2205e-003  6.4716e-003  5.7744e-003
1.6388e-003  1.0057e-002  1.5281e-002  1.4466e-002  1.2010e-002  9.8278e-003  8.2195e-003  7.0800e-003  6.3690e-003  5.7016e-003
1.5344e-003  9.9577e-003  1.6234e-002  1.6346e-002  1.4187e-002  1.1980e-002  1.0243e-002  8.9608e-003  8.1397e-003  7.3535e-003
4.9691e-004  6.2550e-003  1.2748e-002  1.4157e-002  1.2905e-002  1.1210e-002  9.7546e-003  8.6318e-003  7.8941e-003  7.1753e-003
1.6045e-004  3.9227e-003  9.9981e-003  1.2248e-002  1.1727e-002  1.0481e-002  9.2821e-003  8.3084e-003  7.6502e-003  6.9965e-003
5.1654e-005  2.4561e-003  7.8318e-003  1.0586e-002  1.0647e-002  9.7904e-003  8.8250e-003  7.9909e-003  7.4084e-003  6.8175e-003
1.6581e-005  1.5353e-003  6.1274e-003  9.1391e-003  9.6563e-003  9.1371e-003  8.3836e-003  7.6795e-003  7.1690e-003  6.6385e-003
5.3064e-006  9.5818e-004  4.7880e-003  7.8819e-003  8.7498e-003  8.5199e-003  7.9576e-003  7.3746e-003  6.9322e-003  6.4598e-003
1.6933e-006  5.9704e-004  3.7368e-003  6.7905e-003  7.9209e-003  7.9373e-003  7.5470e-003  7.0763e-003  6.6984e-003  6.2816e-003
5.3874e-007  3.7141e-004  2.9129e-003  5.8442e-003  7.1638e-003  7.3882e-003  7.1518e-003  6.7849e-003  6.4678e-003  6.1042e-003
1.7090e-007  2.3069e-004  2.2679e-003  5.0246e-003  6.4730e-003  6.8710e-003  6.7718e-003  6.5005e-003  6.2406e-003  5.9278e-003
5.4055e-008  1.4305e-004  1.7637e-003  4.3155e-003  5.8434e-003  6.3846e-003  6.4068e-003  6.2233e-003  6.0170e-003  5.7526e-003
1.7047e-008  8.8564e-005  1.3699e-003  3.7027e-003  5.2701e-003  5.9274e-003  6.0565e-003  5.9534e-003  5.7973e-003  5.5788e-003
5.3603e-009  5.4744e-005  1.0627e-003  3.1737e-003  4.7487e-003  5.4983e-003  5.7208e-003  5.6909e-003  5.5816e-003  5.4066e-003
1.6806e-009  3.3786e-005  8.2351e-004  2.7176e-003  4.2750e-003  5.0959e-003  5.3994e-003  5.4358e-003  5.3700e-003  5.2362e-003
5.2536e-010  2.0818e-005  6.3739e-004  2.3247e-003  3.8451e-003  4.7189e-003  5.0919e-003  5.1883e-003  5.1628e-003  5.0678e-003
1.6375e-010  1.2808e-005  4.9277e-004  1.9867e-003  3.4553e-003  4.3661e-003  4.7980e-003  4.9483e-003  4.9600e-003  4.9014e-003
5.0891e-011  7.8674e-006  3.8053e-004  1.6962e-003  3.1022e-003  4.0362e-003  4.5175e-003  4.7158e-003  4.7617e-003  4.7374e-003
1.5770e-011  4.8253e-006  2.9353e-004  1.4467e-003  2.7827e-003  3.7282e-003  4.2500e-003  4.4908e-003  4.5680e-003  4.5757e-003
4.8732e-012  2.9552e-006  2.2617e-004  1.2328e-003  2.4939e-003  3.4407e-003  3.9951e-003  4.2733e-003  4.3791e-003  4.4166e-003
1.5019e-012  1.8073e-006  1.7408e-004  1.0495e-003  2.2329e-003  3.1723e-003  3.7521e-003  4.0627e-003  4.1944e-003  4.2596e-003
